rownames,UP0055_CTRL,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:12000001-12500000,0.989908227612121,0.9191175001067444,1.0159711205881996,1.0257220033078023,0.9916678012913589
1:12500001-13000000,,,,,
1:13000001-13500000,,,,,
1:13500001-14000000,,,,,
1:14000001-14500000,0.9420463127688498,0.8531421547686934,1.009569302681985,0.980614606027097,0.9904567128545928
1:14500001-15000000,0.9702730526191495,0.8253197517274409,0.9556794712946626,0.949452398070732,0.9820047035171264
1:15000001-15500000,0.9581574700970404,0.8193465247877617,0.9885047040717421,1.0011716290720087,1.011825958381993
1:15500001-16000000,0.955065305888701,0.9199741471050967,0.983481718245488,0.9901907206745093,1.0186529789438037
1:16000001-16500000,,,,,
1:16500001-17000000,,,,,
1:17000001-17500000,,,,,
1:17500001-18000000,,,,,
1:18000001-18500000,0.9913422753347383,1.000196656459968,0.8917615436437958,0.892086803667324,0.9898252814578447
1:18500001-19000000,1.0376324139426016,0.9423881256067748,0.9281639467569567,0.950998196362336,0.9970104070836411
1:19000001-19500000,1.0235120292546325,0.9521522199857724,1.0045378204117397,0.9707562832596468,0.972178186584459
1:19500001-20000000,0.9736491549442696,0.9551850402316363,1.0456341969031693,0.9870752270241684,0.971969198571701
1:20000001-20500000,1.0298343986625174,0.9077602158989918,0.9664117343207115,0.9540807579297229,1.0257050852901128
1:20500001-21000000,0.9993082057576259,0.8453410211325512,0.966965301959673,0.9654987694427546,0.9815125441672418
1:21000001-21500000,1.063304028566541,0.9721076986161297,1.0408372574055784,0.9655526059606117,0.9424277401367177
1:21500001-22000000,0.9846062417537472,0.8108110659642715,0.9215446353561004,0.9590258893005379,1.0140889475422796
1:22000001-22500000,0.9942060427972252,0.9945354490833831,1.1688813687288457,0.9999518727064008,1.0946311195217675
1:22500001-23000000,,,,,
1:23000001-23500000,1.0290031563127502,0.9225600584727681,0.9780801689410562,1.0065997107709144,0.9953988939584567
1:23500001-24000000,1.0190351324212297,0.9120011797681946,1.0267134216100868,0.9581320033003533,1.0072501348766278
1:24000001-24500000,,,,,
1:24500001-25000000,1.045823565723536,0.9506276877104689,1.0658432502999,1.0082698092326172,0.9872417814631453
1:25000001-25500000,,,,,
1:25500001-26000000,,,,,
1:26000001-26500000,0.9728737223003832,0.8703074141881882,0.9992378823014463,0.9769291927655898,1.0109308222948412
1:26500001-27000000,1.0065510182822002,0.8968610627289554,0.9954950349029463,0.9931900719044128,1.003931911268229
1:27000001-27500000,1.0299055219532496,0.7818313356956076,1.004133373845922,0.9859682474011346,0.9829109675506266
1:27500001-28000000,1.0431366279653838,0.9240247272307193,1.1485678123165486,1.005286172644237,1.068229757463242
1:28000001-28500000,,,,,
1:28500001-29000000,,,,,
1:29000001-29500000,1.0229723750137854,1.0563198807305416,1.1301921792390812,1.047605038268496,1.0181263564929082
1:29500001-30000000,1.0197637967951847,0.9680506041933619,0.9626435558076865,0.9869977688317166,0.9978830456102039
1:30000001-30500000,1.0096660609819859,1.0101537689592857,0.9048566638726288,0.9162682512445304,0.9653216907522361
1:30500001-31000000,,,,,
1:31000001-31500000,,,,,
1:31500001-32000000,1.041389679925088,0.9919082232684366,1.0021874513503455,1.0151885754263064,0.9957400957280874
1:32000001-32500000,1.0545400376911425,0.9944928108762942,1.0456743923856373,0.9589691979300348,0.9974246901271938
1:32500001-33000000,,,,,
1:33000001-33500000,1.0068376128608922,1.079156851475562,1.0158333263736052,0.9529127433915419,1.0009111549681753
1:33500001-34000000,1.0036536260021258,0.9882471189591396,1.0142380648391187,0.9781088183724861,0.9780587825740132
1:34000001-34500000,1.0276363086836584,0.9299212800119274,0.882116658443627,0.9921868169021866,0.9833284625039022
1:34500001-35000000,1.0208563153163963,1.0618648838830889,0.8760098549120555,0.9014954167764342,0.952010758586773
1:35000001-35500000,1.0335317781168285,0.9943805836174191,0.9091912549819627,0.9447080477901623,0.9882356377172457
1:35500001-36000000,0.9799904995654278,1.20493539828484,1.1043711676948873,0.9930534914409331,1.0341802833235691
1:36000001-36500000,1.0343848956250004,1.191135066305957,1.0395156315095837,0.9786156670490247,0.9888665180556249
1:36500001-37000000,1.0062634545717535,1.0369339479333757,1.0304298161896266,0.9825222366857047,0.9446222018453158
1:37000001-37500000,,,,,
1:37500001-38000000,0.9435658504510165,0.9735410606412951,0.8948624989847114,0.9383157537829458,0.9800350452685638
1:38000001-38500000,,,,,
1:38500001-39000000,1.0568293457920885,0.9093729848534602,0.9676962533351632,0.9683760752677651,0.9819806696056185
1:39000001-39500000,,,,,
1:39500001-40000000,0.9366171697065321,0.9921528916573611,1.0001115026757157,0.9616604424024154,0.9517803927231921
1:40000001-40500000,0.9668474788078237,0.9658264345725917,0.96870684655403,1.0180238940532695,0.9743626948721933
1:40500001-41000000,0.9887895838597618,1.0845214415607625,1.0560133769581996,0.9909159758163423,0.995469305250512
1:41000001-41500000,1.057846355257,0.9915839982837724,0.9784998755791149,1.0051481846386998,1.003641768680604
